brick_ID,array,genotype,brick_colour,side,date_1,photo_ID_1,condition_1,area_(cm2)_1,date,photo_ID,condition_2,area_(cm2),days_between_set1_set2,growth_between_set1_set2_area_(cm2),growth_per_day_(cm2),Notes
M3B2B,B,3,2,W,10.19.17,DSCF2832,alive,2.245,06.26.18,DSCF8322,alive,5.956,250,3.711,0.014844,
M3B2B,B,3,2,N,10.19.17,DSCF2829,alive,1.517,06.26.18,DSCF8319,alive,7.837,250,6.32,0.02528,
M3B2B,B,3,2,E,10.19.17,DSCF2830,alive,2.337,06.26.18,DSCF8320,alive,11.401,250,9.064,0.036256,
M3B2B,B,3,2,TOP,10.19.17,DSCF2828,alive,3.16,06.26.18,DSCF8318,dead,NA,250,NA,NA,
M3B2C,C,3,2,W,10.19.17,DSCF2784,alive,1.435,06.26.18,DSCF4610,alive,1.731,250,0.296,0.001184,"Ingrid checked most growth down sides, not expanded along brick, oct 17 was 1.503, Jun 18 was 1.683. adjusted slightly"
M3B2C,C,3,2,S,10.19.17,DSCF2783,alive,2.601,06.26.18,DSCF4609,alive,4.172,250,1.571,0.006284,
M3B2C,C,3,2,E,10.19.17,DSCF2782,alive,2.311,06.26.18,DSCF4608,alive,5.649,250,3.338,0.013352,
M3B2C,C,3,2,TOP,10.19.17,DSCF2780,alive,2.991,06.26.18,DSCF4606,alive,9.454,250,6.463,0.025852,
M3B2C,C,3,2,N,10.19.17,DSCF2781,alive,2.202,06.26.18,DSCF4607,alive,10.639,250,8.437,0.033748,
M3B2D,D,3,2,S,10.19.17,DSCF2813,alive,2.385,06.26.18,DSCF4507,alive,7.822,250,5.437,0.021748,
M3B2D,D,3,2,E,10.19.17,DSCF2812,alive,2.048,06.26.18,DSCF4506,alive,9.279,250,7.231,0.028924,
M3B2D,D,3,2,TOP,10.19.17,DSCF2810,alive,2.668,06.26.18,DSCF4504,alive,11.48,250,8.812,0.035248,
M3B2D,D,3,2,N,10.19.17,DSCF2811,alive,2.17,06.26.18,DSCF4505,dead,NA,250,NA,NA,
M3B2D,D,3,2,W,10.19.17,DSCF2814,alive,1.184,06.26.18,DSCF4508,dead,NA,250,NA,NA,
M3B3A,A,3,3,W,10.19.17,DSCF2772,alive,2.798,06.26.18,DSCF8284,alive,8.454,250,5.656,0.022624,Ingrid re-did Jun meas in imagej-orig= 0.538 (also checked oct=ok)
M3B3A,A,3,3,S,10.19.17,DSCF2771,alive,3.058,06.26.18,DSCF8283,alive,10.738,250,7.68,0.03072,
M3B3A,A,3,3,TOP,10.19.17,DSCF2768,alive,4.009,06.26.18,DSCF8280,alive,13.733,250,9.724,0.038896,
M3B3A,A,3,3,N,10.19.17,DSCF2769,alive,2.692,06.26.18,DSCF8281,alive,15.38,250,12.688,0.050752,
M3B3A,A,3,3,E,10.19.17,DSCF2770,alive,0.627,06.26.18,DSCF8282,dead,NA,250,NA,NA,
M3B3B,B,3,3,N,10.19.17,DSCF2805,alive,2.289,06.26.18,DSCF8351,alive,5.056,250,2.767,0.011068,
M3B3B,B,3,3,E,10.19.17,DSCF2806,alive,1.534,06.26.18,DSCF8352,alive,5.026,250,3.492,0.013968,
M3B3B,B,3,3,TOP,10.19.17,DSCF2804,alive,3.611,06.26.18,DSCF8349,alive,8.999,250,5.388,0.021552,
M3B3B,B,3,3,W,10.19.17,DSCF2808,alive,2.062,06.26.18,DSCF8354,alive,8.077,250,6.015,0.02406,
M3B3B,B,3,3,S,10.19.17,DSCF2807,alive,3.028,06.26.18,DSCF8353,alive,11.936,250,8.908,0.035632,
M3B3C,C,3,3,E,10.19.17,DSCF2788,alive,2.267,06.26.18,DSCF4584,alive,4.713,250,2.446,0.009784,
M3B3C,C,3,3,N,10.19.17,DSCF2787,alive,3.263,06.26.18,DSCF4583,alive,7.147,250,3.884,0.015536,
M3B3C,C,3,3,S,10.19.17,DSCF2789,alive,1.954,06.26.18,DSCF4585,alive,6.033,250,4.079,0.016316,
M3B3C,C,3,3,TOP,10.19.17,DSCF2786,alive,3.779,06.26.18,DSCF4582,alive,8.012,250,4.233,0.016932,
M3B3C,C,3,3,W,10.19.17,DSCF2790,alive,2.665,06.26.18,DSCF4586,alive,7.927,250,5.262,0.021048,
M3B3D,D,3,3,N,10.19.17,DSCF2799,alive,1.688,06.26.18,DSCF4525,alive,3.327,250,1.639,0.006556,
M3B3D,D,3,3,W,10.19.17,DSCF2802,alive,2.514,06.26.18,DSCF4529,alive,7.43,250,4.916,0.019664,
M3B3D,D,3,3,S,10.19.17,DSCF2801,alive,2.02,06.26.18,DSCF4527,alive,7.492,250,5.472,0.021888,
